337316,27.7,34000,73377,9594870,5024327,
694292,27.7,34000,74074,9597475,5024312,
1221723,27.7,33998,73299,9603435,5020054,
1578615,27.7,34003,73739,9599699,5025320,
1935508,27.6,34003,73857,9596316,5019902,
2819278,27.5,34008,73663,9602999,5031362,
3176138,27.4,34014,73899,9601039,5035144,
3532968,27.3,34014,73047,9602905,5030974,
3889766,27.2,34014,74037,9602311,5030464,
4312846,27.1,34020,73206,9604104,5032542,
5263162,26.8,34026,73436,9602875,5034247,
5721148,26.7,34030,73560,9599537,5039297,
6077930,26.6,34036,74525,9601983,5048795,
6434759,26.5,34036,73885,9604091,5040589,
6791651,26.4,34041,73810,9605774,5049166,
7685014,26.2,34041,73189,9601298,5042584,
8041873,26.1,34047,73515,9602454,5045193,
8464937,26.1,34052,74188,9606940,5056099,
8821813,26,34052,73728,9610103,5051276,
9279595,25.9,34053,72703,9605188,5048411,
10295255,25.6,34055,73329,9606352,5046254,
10620880,25.6,34064,73741,9609720,5063920,
10977772,25.5,34064,73772,9605263,5062799,
11334647,25.4,34064,73900,9605405,5056594,
11691461,25.4,34064,73318,9607368,5058359,
12584604,25.2,34072,74304,9612929,5063738,
12941432,25.1,34072,73655,9608755,5067744,
13298308,25.1,34078,74585,9616903,5080046,
13655231,25.1,34078,73897,9610313,5073768,
14012044,25,34078,73875,9609445,5068272,
14895562,24.9,34078,73353,9609403,5063867,
15252469,24.8,34084,73594,9610678,5078971,
15609360,24.8,34084,73917,9609711,5067246,
15966126,24.8,34084,73077,9609474,5071861,
16757972,24.7,34092,74025,9616371,5082943,
17641349,24.5,34092,73714,9609964,5075211,
18067646,24.4,34097,74155,9615754,5084560,
18424334,24.4,34097,73621,9609832,5079295,
18781038,24.4,34097,74169,9612704,5078978,
19137930,24.3,34097,73209,9608391,5077867,
20021651,24.2,34097,73159,9613582,5074715,
20378557,24.2,34103,73677,9613884,5087274,
20735276,24.1,34103,74308,9614616,5085653,
21092168,24,34103,73769,9613842,5080115,
21449043,24,34103,73109,9608456,5075011,
22604327,23.8,34109,73479,9618001,5087038,
23093421,23.8,34115,74165,9618599,5094677,
23450281,23.7,34115,74242,9612345,5089182,
23807188,23.7,34115,74295,9617249,5092496,
24163970,23.7,34115,73586,9614918,5090586,
25047722,23.6,34115,73146,9609617,5079459,
25505566,23.5,34124,74372,9614959,5101862,
25862348,23.4,34124,73812,9620111,5102918,
26219270,23.4,34124,73595,9619508,5097380,
26576052,23.4,34124,73666,9613964,5096724,
27668008,23.2,34124,73652,9616950,5088225,
27993508,23.2,34132,73708,9616613,5105829,
28350274,23.1,34132,73949,9616582,5106056,
28707103,23.1,34132,74012,9617923,5108204,
29064010,23.1,34132,73591,9615407,5099854,
29957105,22.9,34132,73264,9614294,5097714,
30313918,22.9,34138,73856,9621085,5110848,
30670653,22.9,34138,74079,9618320,5111042,
31027356,22.8,34138,74015,9618401,5105428,
31384185,22.8,34138,73887,9618386,5108045,
32444140,22.6,34140,73463,9618945,5104009,
32801047,22.7,34140,73338,9619887,5104006,
33157907,22.6,34140,73091,9619388,5103865,
33549579,22.6,34149,74165,9620314,5113420,
34073502,22.5,34146,73643,9616361,5112161,
35165035,22.4,34147,73393,9618168,5104538,
35490504,22.4,34154,74205,9620166,5115281,
35847176,22.3,34154,74032,9621743,5120215,
36204083,22.2,34154,74208,9623076,5115510,
36560881,22.2,34154,73876,9616491,5114987,
37444414,22.2,34154,73109,9617935,5114445,
37804820,22.1,34154,74023,9613502,5109079,
38262555,22.1,34158,74179,9619960,5120962,
38619384,22,34158,73573,9616076,5121593,
38976260,21.9,34158,74047,9619248,5117493,
39859589,21.9,34158,73470,9620316,5110909,
40251121,21.9,34166,74408,9621904,5127629,
40607871,21.8,34166,74420,9625798,5128434,
40964622,21.8,34166,74109,9620146,5126685,
41321497,21.7,34166,73622,9624710,5120739,
